name,college,programmes,n_programmes,scopus_id,scopus_url,google_scholar_id
"Muath Jodei Al Hasan, Ph.D",Engineering,Bachelor of Science in Networks and Communication Engineering,1,35145370900,https://www.scopus.com/authid/detail.uri?authorId=35145370900,-YBjZPcAAAAJ
"Khubaib Amjad Alam, Ph.D",Engineering,Bachelor of Science in Software Engineering,1,56504833200,https://www.scopus.com/authid/detail.uri?authorId=56504833200,s_BMc5YAAAAJ
"Nuha Hamed Hamada, Ph.D",Engineering,Bachelor of Science in Computer Science,1,,,VXDlEyYAAAAJ
"Ubaid Ullah, Ph.D",Engineering,Bachelor of Science in Networks and Communication Engineering,1,57210185494,https://www.scopus.com/authid/detail.uri?authorId=57210185494,gPJaPK0AAAAJ
"Noor Aldeen Alawad, Ph.D",Engineering,Bachelor of Science in Artificial Intelligence and Robotics; Master of Science in Artificial Intelligence,2,57190494811,https://www.scopus.com/authid/detail.uri?authorId=57190494811,IPTnKWYAAAAJ
"Armagan Elibol, Ph.D",Engineering,Bachelor of Science in Artificial Intelligence and Robotics; Master of Science in Artificial Intelligence,2,24733903500,https://www.scopus.com/authid/detail.uri?authorId=24733903500,0K866ugAAAAJ
"Salah Taamneh, Ph.D",Engineering,none,0,,,
"Mohammad Khaled Al-Hattab, Ph.D",Engineering,Bachelor of Science in Computer Engineering,1,24823991700,https://www.scopus.com/authid/detail.uri?authorId=24823991700,XRk871UAAAAJ
"Tarik Elamsy, Ph.D",Engineering,Bachelor of Science in Computer Science,1,20433783900,https://www.scopus.com/authid/detail.uri?authorId=20433783900,G67OoAgAAAAJ
"Tareq Mohamed Oshan, Ph.D",Engineering,Bachelor of Science in Computer Science,1,58368817700,https://www.scopus.com/authid/detail.uri?authorId=58368817700,gSeG_V8AAAAJ
"Omar Fawwaz Najm, Ph.D",Engineering,Bachelor of Science in Civil Engineering,1,57189215293,https://www.scopus.com/authid/detail.uri?authorId=57189215293,5AZQhF8AAAAJ
"Muhammad Ilyas, Ph.D",Engineering,Bachelor of Science in Cybersecurity,1,57203258353,https://www.scopus.com/authid/detail.uri?authorId=57203258353,io_LywsAAAAJ
"Haroon Mahmood, Ph.D",Engineering,Bachelor of Science in Cybersecurity,1,57210927054,https://www.scopus.com/authid/detail.uri?authorId=57210927054,TJv3l2QAAAAJ
"Mahmoud Sharkawi, Ph.D",Engineering,Bachelor of Science in Computer Science,1,57226579956,https://www.scopus.com/authid/detail.uri?authorId=57226579956,TnwW9mwAAAAJ
"Suhib Bani Melhem , Ph.D",Engineering,Bachelor of Science in Cybersecurity,1,56786127900,https://www.scopus.com/authid/detail.uri?authorId=56786127900,GkB4a7QAAAAJ
